period,address,minimum_temperature,maximum_temperature,temperature,dew_point,relative_humidity,heat_index,wind_speed,wind_gust,wind_direction,precipitation,precipitation_cover,snow_depth,visibility,cloud_cover,sea_level_pressure,latitude,longitude,location,resolved_address
2009-5-28T16:0:0,Malaysia,77.1,93.8,84,76.6,79.79,111.4,13.9,,205.56,4.2,0.73,,5.4,90.3,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-29T16:0:0,Malaysia,73.5,95.1,83.8,75.9,78.75,107.8,12.8,,212.14,0.3,1.09,,5.6,90.5,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-15T16:0:0,Malaysia,71.7,95.1,81.5,74.1,79.67,110.7,11.4,,187.36,0,0.36,,5.5,90.4,1010.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-30T16:0:0,Malaysia,75.3,93.8,83.2,76.2,80.57,109.7,13.9,,205.98,1.4,0.73,,5.6,90.5,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-31T16:0:0,Malaysia,77.1,94.2,83.3,76.4,80.78,110.6,12.8,,225.32,0.8,1.09,,5.7,90,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-1T16:0:0,Malaysia,75.3,95.1,83.7,76.6,80.45,113.8,16.1,,233.83,0.1,0.73,,5.4,90.4,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-2T16:0:0,Malaysia,77.1,96.9,84.7,76.5,78.08,114.7,13.9,,223.76,0,0,,5.5,90.1,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-3T16:0:0,Malaysia,73.5,96.9,84.1,76.4,78.92,116.4,16.1,,217.2,1.2,0.73,,5.7,90.3,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-4T16:0:0,Malaysia,75.3,97.1,84.2,76.5,78.99,115.6,15,,213.94,0.5,0.73,,5.8,90.4,1008.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-5T16:0:0,Malaysia,74.9,95.1,84.7,76.2,77.13,116.4,13.9,,214.6,1.5,0.73,,5.8,90.2,1008.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-6T16:0:0,Malaysia,75.3,95.1,84.9,76.9,78.16,116.4,13.9,,201.92,0,0.36,,5.6,90.3,1008.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-7T16:0:0,Malaysia,73.5,95.1,84.4,76.9,79.15,117.5,17.2,,206.52,0.3,0.73,,5.4,90.2,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-8T16:0:0,Malaysia,75.3,95.1,84.2,76.6,79.11,113.1,11.4,,203.74,1.8,0.73,,5.7,90.1,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-16T16:0:0,Malaysia,73.5,94.4,81.7,74,78.81,107.8,11.4,,207.72,0.4,0.36,,5.6,90.8,1010.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-9T16:0:0,Malaysia,75.3,96.9,84.4,76.1,77.42,112.6,18.3,,208.67,0.1,0.73,,5.6,90.3,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-10T16:0:0,Malaysia,77.1,95.1,84.9,76.8,78.08,113.8,13.9,,209.47,1.8,0.73,,5.5,90.1,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-11T16:0:0,Malaysia,75.3,96.9,84.4,76.5,78.32,122.6,15,,201.04,0.2,0.73,,5.5,90.4,1009.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-12T16:0:0,Malaysia,75.3,96.9,84.8,76,76.13,118.9,12.8,,203.23,0,0.36,,5.6,90,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-13T16:0:0,Malaysia,75.3,95.1,84.6,75.8,76.01,113.8,17.2,,200.67,0.6,0.73,,5.6,90.4,1010.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-14T16:0:0,Malaysia,73.5,95.1,84.1,75.7,77.09,113.8,16.1,,205.03,0.5,0.36,,5.6,90.3,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-15T16:0:0,Malaysia,75.3,95.1,84.4,75.8,76.47,113.1,12.8,,191.44,0,0,,5.3,83.3,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-16T16:0:0,Malaysia,73.5,95.1,83.4,75.3,77.72,109.2,18.3,,203.54,0.2,0.73,,5.4,88.4,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-17T16:0:0,Malaysia,73.5,96.9,83.9,75,75.78,107.4,13.9,,193.7,0,0,,5.8,90,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-18T16:0:0,Malaysia,75.3,96.9,84.7,75.5,75.07,111.2,11.4,,197.11,0,0.36,,5.7,90.1,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-17T16:0:0,Malaysia,73.5,93.3,81.5,73.6,78.56,111.5,11.4,,166.92,0.2,0.73,,5.3,90.7,1010.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-19T16:0:0,Malaysia,73.5,95.1,84.5,75.6,76.04,113.1,15,,199.57,0,0,,5.6,90.1,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-20T16:0:0,Malaysia,77.1,95.1,84.4,75.8,76.94,110.6,11.4,,192.91,2.5,1.45,,5.4,90,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-21T16:0:0,Malaysia,75.3,95.3,83.7,75.8,78.23,113.1,15,,194.32,0,0,,5.1,89.7,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-22T16:0:0,Malaysia,75.3,96.9,83.6,75.5,78.1,110.6,15,,205.94,2.5,1.09,,4.8,88,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-23T16:0:0,Malaysia,73.5,95.1,84.6,75.4,75.25,111.2,13.9,,176.18,0.1,1.09,,4.9,83.7,1008.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-24T16:0:0,Malaysia,75.3,95.1,84,75.2,76.02,110.6,16.1,,184.81,0.9,1.09,,5.1,84.6,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-25T16:0:0,Malaysia,73.5,93.3,83.4,75.2,77.62,110.6,23,,193.06,0.3,1.45,,5.1,87.5,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-26T16:0:0,Malaysia,73.5,93.3,83.3,75.1,77.6,105.4,17.2,,188.57,4.5,1.45,,5.3,90.7,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-27T16:0:0,Malaysia,74.6,95.1,84.4,75.8,76.63,110.6,15,,200.5,0.2,0.73,,5.6,90,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-28T16:0:0,Malaysia,75.3,95.1,83.8,75.7,77.83,110.2,13.9,,212.76,0.4,0.73,,5.5,90.1,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-18T16:0:0,Malaysia,73.5,93.3,81.6,73.7,78.59,105.3,13.9,,198.03,1.8,1.45,,5.5,90,1010,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-29T16:0:0,Malaysia,75.3,96.9,84.6,75.5,75.5,113.1,20.1,,211.47,0.1,0.73,,5.7,90,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-6-30T16:0:0,Malaysia,75.3,95.1,84,76,77.85,113.1,17.2,,194.39,2.9,0.36,,5.6,90.1,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-1T16:0:0,Malaysia,69.9,95.1,83.6,75.2,77.22,110.6,16.1,,196.67,0,0.36,,5.6,90.4,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-2T16:0:0,Malaysia,75.3,96.9,83.5,75.3,77.51,112.6,12.8,,206.68,0.8,1.82,,5.5,90.4,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-3T16:0:0,Malaysia,73.5,95.1,83.3,75.2,77.75,113.1,20.8,,189.49,0.4,0.36,,5.5,90.4,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-4T16:0:0,Malaysia,73.5,93.3,83.7,74.5,75.18,110.6,13.9,,159.24,0.1,0.36,,5.7,90.4,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-5T16:0:0,Malaysia,73.5,94.2,83.5,74.8,76.21,111.2,13.9,,165.9,0.1,0.36,,5.8,90,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-6T16:0:0,Malaysia,75.3,95.1,83.2,75.5,78.75,110.6,38,,181.44,0.7,2.18,,5.4,90.2,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-7T16:0:0,Malaysia,73.5,93.3,82.8,75.4,79.56,108.1,13.9,,212.77,1,1.09,,5.6,90,1009.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-8T16:0:0,Malaysia,75.3,95.1,82.8,75.6,79.99,110.2,12.8,,198.33,0.5,1.09,,5.1,90.4,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-19T16:0:0,Malaysia,75.3,96.9,81.7,73.9,78.82,105.3,11.4,,192.3,2.1,1.45,,5.4,90.5,1010,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-9T16:0:0,Malaysia,76.7,95.1,83.6,76.1,79.2,113.1,16.1,,226.8,0.2,1.45,,5.4,90,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-10T16:0:0,Malaysia,71.7,93.5,83.2,76,79.94,111.8,16.1,,210.75,0.2,1.09,,5.5,90.8,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-11T16:0:0,Malaysia,75.8,93.3,83.7,75.8,78.03,110.6,12.8,,198.56,0,0,,5.7,90.2,1008.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-12T16:0:0,Malaysia,73.5,95.1,83.5,75,76.97,111.2,26.4,,186.85,0,0,,5.5,90.3,1008.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-13T16:0:0,Malaysia,73.5,93.3,83,75.1,78.38,108.1,15,,176.23,0.4,0.36,,5.5,91,1008.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-14T16:0:0,Malaysia,71.7,95.1,83,75.1,78.18,105.4,13.9,,177.36,0.9,2.18,,5.5,90.5,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-15T16:0:0,Malaysia,73.5,93.3,82.7,75.6,80.22,111.2,23,,185.91,1.4,1.09,,5.5,90.3,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-16T16:0:0,Malaysia,75.3,95.1,83.4,75.6,78.63,121.5,13.9,,179.55,1.6,1.45,,5.5,90.3,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-17T16:0:0,Malaysia,75.3,95.1,83.5,75.1,77.25,131.6,18.3,,171.89,0.2,0.73,,5.8,90.8,1009.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-18T16:0:0,Malaysia,74.6,95.1,83.8,74.8,75.57,110.6,16.1,,189.33,0.3,0.73,,5.8,90.3,1009.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-2T16:0:0,Malaysia,73.5,95.1,81.1,75.3,83.45,110.2,19.7,,238.82,1.1,2.18,,5.5,90.3,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-20T16:0:0,Malaysia,73.5,95.1,81.8,74.3,79.62,108.1,12.8,,207.14,3,1.09,,5.5,90.2,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-19T16:0:0,Malaysia,75.3,95.1,84.4,74.8,74.55,113.8,17.2,,177.56,2.7,0.36,,5.5,90,1009.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-20T16:0:0,Malaysia,74,93.3,83.2,74.9,77.43,106.3,13.9,,201.42,2.3,1.09,,5.4,90,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-21T16:0:0,Malaysia,73.5,95.1,83.2,75,77.49,113.1,16.1,,177.77,0,0,,5.3,90.1,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-22T16:0:0,Malaysia,73.5,93.8,84,74.8,75.35,108.1,15,,172.4,1.2,0.36,,5.5,90.1,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-23T16:0:0,Malaysia,75.3,94.2,83.2,74.9,77.47,108.4,13.9,,185.48,0,0,,5.6,90.1,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-24T16:0:0,Malaysia,73.5,93.3,83.3,74.7,76.78,110.6,17.2,,181.72,0.1,0.73,,5.5,90,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-25T16:0:0,Malaysia,75.3,95.3,83.6,74.8,76.42,113.8,12.8,,182.71,0.7,1.09,,5.3,90.1,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-26T16:0:0,Malaysia,75.3,93.3,83.3,75,77.37,107.8,15,,192,0.7,0.73,,5.1,90,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-27T16:0:0,Malaysia,75.3,95.1,84.3,74.9,74.84,108.1,11.4,,189.17,0.6,0.36,,5.4,90,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-28T16:0:0,Malaysia,74.6,93.8,84.2,75.1,75.46,110.6,15,,174.22,0.8,1.45,,5.4,88.9,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-21T16:0:0,Malaysia,73.5,93.3,81.5,74.1,79.73,111.2,12.8,,197.58,1.2,1.82,,5.5,90.4,1010.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-29T16:0:0,Malaysia,75.3,93.3,82.7,75.3,79.54,105.4,16.1,,202.13,1.6,0.73,,5.1,90.6,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-30T16:0:0,Malaysia,75.3,93.3,83.1,75.3,78.56,110.6,12.8,,204.81,1,1.09,,5,90.3,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-7-31T16:0:0,Malaysia,75.3,93.3,83.5,75.1,77.04,110.6,15,,186.4,0.1,0.36,,5.2,90.2,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
