period,address,minimum_temperature,maximum_temperature,temperature,dew_point,relative_humidity,heat_index,wind_speed,wind_gust,wind_direction,precipitation,precipitation_cover,snow_depth,visibility,cloud_cover,sea_level_pressure,latitude,longitude,location,resolved_address
2009-12-1T16:0:0,Malaysia,75.3,93.3,80.3,76.2,88.18,108.1,15,,236.26,2.8,2.55,,5.1,91.9,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-2T16:0:0,Malaysia,73.5,93.3,81.2,76.2,85.96,108.1,12.8,,229.53,2.1,2.55,,5.5,91,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-3T16:0:0,Malaysia,74.6,91.5,81,76.3,86.69,105.4,17.2,,193.2,3.1,2.18,,5.2,91.1,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-4T16:0:0,Malaysia,73.5,93.3,81.8,76,83.69,108.1,12.8,,218.71,0.2,1.09,,5.3,90.5,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-5T16:0:0,Malaysia,75.3,95.1,82.3,76.1,82.94,107.8,11.4,,197.02,1.8,1.45,,5.4,90.2,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-3T16:0:0,Malaysia,71.7,95.1,81.6,73.9,79.36,106.8,12.8,,221.2,1.4,1.82,,5.6,90.5,1010.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-6T16:0:0,Malaysia,75.3,93.3,82.1,76,83.28,110.6,13.9,,239.33,1,1.09,,5.5,90.3,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-7T16:0:0,Malaysia,73.5,93.3,81.4,76.1,85.04,114.7,18.3,,204.23,2.9,2.18,,5.4,90.5,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-8T16:0:0,Malaysia,73.5,93.3,81.1,75.8,85.03,110.6,15,,211.63,2.4,1.09,,5.3,90.3,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-9T16:0:0,Malaysia,75.3,95.1,81.4,75.9,84.35,113.8,12.8,,231.34,0,0,,5.3,90.3,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-10T16:0:0,Malaysia,75.3,91.5,80.6,75.6,85.39,105.4,16.1,,220.79,0.7,0.73,,5.7,90.7,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-11T16:0:0,Malaysia,71.7,92.4,81.1,75.5,84.19,108.4,12.8,,239.14,0.2,0.73,,5.6,90.6,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-12T16:0:0,Malaysia,74.6,93.3,81.5,75.9,84.07,111.2,13.9,,230.78,1.8,1.09,,5.4,90.7,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-13T16:0:0,Malaysia,73.5,92,81.4,75.9,84.43,108.1,12.8,,246.34,2.5,1.09,,5.2,90.2,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-14T16:0:0,Malaysia,75.3,93.5,81.7,76,83.79,110.6,13.9,,238.97,0.9,0.73,,5.3,90.1,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-15T16:0:0,Malaysia,74.9,93.3,81.2,75.7,84.22,105.4,13.9,,238.91,2,2.55,,5.2,90.7,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-4T16:0:0,Malaysia,71.7,93.8,81.9,74.3,79.29,110.6,11.4,,233.32,0.7,0.73,,5.5,90.4,1010.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-16T16:0:0,Malaysia,74.6,91.5,80.7,75.5,85.21,108,12.8,,220.23,1.5,2.18,,5.3,90.8,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-17T16:0:0,Malaysia,74.6,93.3,81.8,75.5,82.32,110.6,15,,261.1,1.6,1.82,,5.2,90.2,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-18T16:0:0,Malaysia,75.3,91.5,81,75.5,84.24,105.4,12.8,,239.26,2.7,2.18,,5.3,90.7,1010.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-19T16:0:0,Malaysia,74.9,93.3,80.1,75.5,86.56,105.3,15,,234.16,3.1,1.82,,5,90.7,1009.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-20T16:0:0,Malaysia,73.5,93.3,81.2,75.4,83.78,110.6,13.9,,245.67,4.6,0.73,,5.1,90.5,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-21T16:0:0,Malaysia,73.5,93.3,80.9,75.5,84.68,107.8,15,,224.8,1.3,1.82,,5.3,90.7,1008.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-22T16:0:0,Malaysia,74.9,91.5,80.9,75.7,85.13,105.4,20.8,,242.59,2.3,2.55,,5.3,91.5,1008.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-23T16:0:0,Malaysia,75.3,93.3,81,76,85.54,105.3,12.8,,232.42,0.6,1.82,,5.4,91.3,1008.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-24T16:0:0,Malaysia,75.3,93.3,81.2,75.6,83.94,105.5,15,,194.97,0,0.36,,5.3,90.6,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-25T16:0:0,Malaysia,74.6,93.5,81.3,75.1,82.8,105.3,16.1,,213.01,2.4,0.36,,5.4,91,1008.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-5T16:0:0,Malaysia,74.6,93.3,81.9,74.4,79.32,108.7,12.8,,209.6,1.6,0.73,,5.8,90.2,1010.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-26T16:0:0,Malaysia,73.5,95.1,80.8,74.8,83.4,111.2,11.4,,224.22,0.3,0.36,,5.4,90.6,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-27T16:0:0,Malaysia,75.3,93.3,81.1,75.5,84.2,105.4,11.4,,230.66,3.8,1.09,,5.3,90.3,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-28T16:0:0,Malaysia,73.5,92.6,81.2,75,82.57,105.3,11.4,,210.22,0.2,0.36,,5.3,91,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-29T16:0:0,Malaysia,73.5,93.3,81.4,74.8,81.82,108.1,12.8,,212.38,0.2,1.45,,5.4,90.3,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-12-30T16:0:0,Malaysia,74.9,92,81.8,74.8,80.64,108.1,17.2,,210.58,2,1.08,,5.3,90.5,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-6T16:0:0,Malaysia,71.7,93.3,82.2,74.3,78.46,110.6,11.4,,214.07,1.7,1.82,,5.8,90,1009.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-7T16:0:0,Malaysia,74.4,95.1,82.7,74.1,76.92,110.9,11.4,,224.04,3,1.09,,5.5,90.3,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-8T16:0:0,Malaysia,73.5,95.1,83.1,74.2,76.12,111.2,12.8,,230.55,1.4,0.36,,5.5,90,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-4T16:0:0,Malaysia,73.5,95.1,81.7,74.8,80.88,108.1,11.4,,189.05,0.4,0.73,,5.7,90.5,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-9T16:0:0,Malaysia,75.3,96.9,83.3,74,75.19,111.8,12.8,,199.81,0.3,0.36,,5.6,90,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-10T16:0:0,Malaysia,75.3,95.1,83.4,73.9,74.92,107.8,12.8,,213.54,1.1,1.45,,5.5,90,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-11T16:0:0,Malaysia,73.5,96.9,83.2,73.4,74.23,108.1,12.8,,206.4,1.1,0.73,,5.6,90.2,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-12T16:0:0,Malaysia,73.5,95.1,83,74.1,76.11,112.8,15,,206.84,0.8,1.45,,5.7,90.2,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-13T16:0:0,Malaysia,75.3,95.1,82.6,74.3,77.85,110.6,15,,204.34,0.6,1.45,,5.7,90.1,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-14T16:0:0,Malaysia,74.6,95.1,82.8,74.3,77.16,107.8,12.8,,219.23,0.5,0.73,,5.6,90,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-15T16:0:0,Malaysia,75.3,95.1,83,74,76.06,108.1,18.3,,208.6,1.6,1.09,,5.8,90.2,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-16T16:0:0,Malaysia,75.3,95.1,82.5,74.4,78.23,110.2,13.9,,204.17,5,2.55,,5.5,90.4,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-17T16:0:0,Malaysia,73.5,95.1,81.9,75,81.08,108.4,15,,212.56,3.2,2.55,,5.1,90.4,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-18T16:0:0,Malaysia,73.5,95.1,81.9,74.7,80.44,113.1,13.9,,212.66,0.6,1.45,,5.3,90.8,1009.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-5T16:0:0,Malaysia,73.5,95.6,82,75.1,80.96,110.2,12.8,,196.72,0.5,1.45,,5.6,90.3,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-19T16:0:0,Malaysia,73.5,94.4,82.6,74.9,79.04,108.1,12.8,,207.35,0.3,1.45,,5.4,90.1,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-20T16:0:0,Malaysia,73.5,96.9,82.8,74.3,77.48,110,15,,195.94,2,1.45,,5.5,90.4,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-21T16:0:0,Malaysia,71.7,95.1,83,74.8,78.05,110.6,16.1,,207.16,0.1,0.36,,5.4,90.1,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-22T16:0:0,Malaysia,73.5,95.1,82.8,74.9,78.85,116.4,13.9,,207.21,2.5,2.18,,5.6,90.1,1008.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-23T16:0:0,Malaysia,74.9,95.1,82.3,74.9,80.23,111.8,17.2,,193.86,6.1,2.18,,5.4,90.6,1008.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-24T16:0:0,Malaysia,74,95.1,82.7,74.8,79.05,110.6,11.4,,206.17,1.5,1.45,,5.5,90,1008.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-25T16:0:0,Malaysia,75.3,95.1,82.5,74.4,78.41,107.8,12.8,,181.45,4.3,2.18,,5.3,90.2,1008.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-26T16:0:0,Malaysia,74.9,95.1,82.8,75.1,79.07,108.1,10.3,,196.7,2.1,1.82,,5.4,90.1,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-27T16:0:0,Malaysia,75.3,95.1,83,75.5,79.63,110.6,13.9,,206.06,0.5,1.45,,5.4,90.1,1008.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-2-28T16:0:0,Malaysia,71.7,95.1,82.9,75.7,80.13,113.1,12.8,,193.89,1.8,1.09,,5.3,90,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-6T16:0:0,Malaysia,73.5,95.1,82.4,74.6,78.92,107.7,13.9,,219.46,1.1,0.73,,5.7,90.2,1010.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-1T16:0:0,Malaysia,73.5,95.1,83.3,75.8,79.46,116.4,11.4,,209.53,2.7,1.09,,5.3,90.3,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-2T16:0:0,Malaysia,74.9,96.9,82.8,75.3,79.6,116.4,16.1,,200.05,4.4,1.82,,5.4,87.5,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-3T16:0:0,Malaysia,74.9,96.9,83.3,75.6,79,116.4,13.9,,240.73,0,0.36,,5.6,87.1,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-4T16:0:0,Malaysia,75.3,100.5,82.7,76,81.55,110.2,15,,232.81,0.2,1.09,,5.3,90.2,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-5T16:0:0,Malaysia,75.3,96.9,83.2,75.5,79.11,111.2,12.8,,208.23,0.2,1.45,,5.3,90,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-6T16:0:0,Malaysia,75.3,96.9,83.3,75.7,79.32,115.6,17.2,,204.67,0.1,1.09,,5.4,90.4,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-7T16:0:0,Malaysia,73.5,95.1,82.6,75.1,79.63,110.2,18.3,,242.98,3.1,2.91,,5.4,90.5,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-8T16:0:0,Malaysia,73.5,96.9,82.7,75,79.37,115.6,12.8,,228.39,1.1,1.45,,5.3,90.1,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-9T16:0:0,Malaysia,73.5,95.1,82.7,74.9,78.83,113.1,23,,213.4,0.5,0.73,,5.2,90,1010,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-10T16:0:0,Malaysia,73.5,96.9,82.5,74.4,78.86,111.2,11.4,,193.55,0.5,1.82,,5.3,90.4,1010.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-7T16:0:0,Malaysia,73.5,93.3,82,74.9,80.38,111.2,13.9,,231,2.3,1.45,,5.7,90.5,1010.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-11T16:0:0,Malaysia,73.5,95.1,82.6,74.9,79.47,111.2,11.4,,223.48,3.3,2.18,,5.1,90.3,1010.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-12T16:0:0,Malaysia,75.3,95.1,82.4,75.2,80.48,108.5,12.8,,224.84,1.8,1.82,,4.7,83.4,1010.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-13T16:0:0,Malaysia,74.9,96.9,82.6,75.3,80.35,111.2,17.2,,214.35,2.5,2.18,,5,82,1010.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-14T16:0:0,Malaysia,73.5,96.9,83.1,75.2,78.94,110.6,15,,224.98,1.3,1.82,,5.1,89.8,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-15T16:0:0,Malaysia,75.3,98.7,82.9,75.6,80.11,110.6,13.9,,211.73,0.4,0.36,,5.5,88.6,1010,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-16T16:0:0,Malaysia,74.9,96.9,82.9,75.4,79.67,124.6,12.8,,224.72,1.3,1.45,,5.4,90.4,1009.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-17T16:0:0,Malaysia,72.8,96.9,82.9,75.4,79.76,113.8,12.8,,210,0.9,1.09,,5.1,90.4,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-18T16:0:0,Malaysia,73.5,96.9,83.2,76,80.31,116.4,11.4,,236.82,0.3,1.82,,5.2,90.2,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-19T16:0:0,Malaysia,75.3,95.1,82.7,76.3,82.19,110.6,13.9,,227.89,2.3,1.09,,5,90.8,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-20T16:0:0,Malaysia,75.3,95.1,82.8,76,81.21,111.2,17.2,,250.57,4,1.82,,5.1,90,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-8T16:0:0,Malaysia,73.5,95.1,81.4,74.4,80.65,105.4,13.9,,230.04,0.7,1.09,,5.6,90.7,1010.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-21T16:0:0,Malaysia,75.3,95.1,83,76.1,81.17,113.1,18.3,,227.99,4.5,2.18,,5.4,90.7,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-22T16:0:0,Malaysia,73.5,96.9,83.5,75.7,78.79,116.4,13.9,,212.82,1,0.73,,5.6,90.1,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-23T16:0:0,Malaysia,73.5,96.9,83.3,75.9,79.74,113.1,11.4,,218.66,2.5,1.82,,5.5,90,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-24T16:0:0,Malaysia,75.3,96.9,83.8,75.6,78.07,120.1,12.8,,212.54,1.9,0.73,,5.4,89.1,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-25T16:0:0,Malaysia,73.5,96.9,83.4,75.7,79.39,116.4,13.9,,190.14,3,1.82,,5.8,90.1,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-26T16:0:0,Malaysia,73.5,96.9,83.4,75.6,79.02,110.6,19.5,,211.76,0.7,0.73,,5.6,90.5,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-27T16:0:0,Malaysia,73.5,95.1,83,75.7,79.96,114.7,12.8,,186.54,1.6,2.18,,5.5,90.5,1010,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-28T16:0:0,Malaysia,74.9,96.9,83,75.7,80.12,111.2,12.8,,224.6,0,0.73,,5.5,90.2,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-29T16:0:0,Malaysia,73.5,96.9,83.2,75.5,79.36,114.7,12.8,,211.06,1.4,2.55,,5.5,90.3,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-30T16:0:0,Malaysia,75.3,96.9,82.8,76.1,81.43,117.5,18.3,,224.33,3.9,1.45,,5.3,90.7,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-9T16:0:0,Malaysia,73.5,95.1,81.5,74.6,80.93,110.6,10.3,,240.14,0.5,1.45,,5.6,90.8,1010.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-3-31T16:0:0,Malaysia,75.3,95.1,83,76.2,81.22,113.8,13.9,,236.71,1.1,1.09,,5.4,90.4,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-1T16:0:0,Malaysia,75.3,96.9,83.1,76.6,81.85,110.6,13.9,,220.15,3.7,2.18,,5.4,90.6,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-2T16:0:0,Malaysia,75.3,96.9,82.9,76.2,82.01,111,15,,211.38,0.8,1.45,,5.3,90.7,1009.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-3T16:0:0,Malaysia,75.3,96.9,83.5,76.3,80.32,113.8,15,,251.1,1.6,1.09,,5.3,90.3,1010,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-4T16:0:0,Malaysia,75.3,95.1,83.2,76.1,80.31,116.4,16.1,,228.55,1.4,1.82,,5.7,90.5,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-5T16:0:0,Malaysia,75.3,96,82.5,76.2,82.24,116.4,13.9,,243.46,1,1.09,,5.7,90.4,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-6T16:0:0,Malaysia,75.3,96.9,83.3,76.5,81.39,116.4,15,,228.67,2.7,2.18,,5.4,90.2,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-7T16:0:0,Malaysia,75.3,96.9,83.7,76.2,79.64,113.8,13.9,,211.32,1,1.45,,5.6,90.1,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-8T16:0:0,Malaysia,77.1,96.9,83.8,76.3,79.73,116.4,16.1,,205.57,2.9,1.09,,5.3,90.5,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-9T16:0:0,Malaysia,73.5,95.1,83,76.2,81.46,113.1,15,,212.27,6.1,2.91,,5.3,90.7,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
